"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-01","11.86",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"19","H,,S","30",",,W","12",",,W","  270",",,W","  270",",,W","21.9",",,W","29.1",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-02","18.12",",,W",,,"0.78",",,W,2400","16.2",",,W",,,"20","H,,S","31",",,W","10",",,W","   50",",,W","   50",",,W","36.0",",,W","45.0",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W","    1",",,W"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-03","12.97",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"13","H,,S","22",",,W","6",",,W","  300",",,W","  300",",,W","23.9",",,W","33.1",",,W",,,,,,,,,,,,,"    1",",,W","    1",",,W"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-04","9.40",",,W",,,"0.01",",,W,2400","0.0",",,W",,,"23","H,,S","38",",,W","14",",,W","  230",",,W","  220",",,W","19.9",",,W","25.9",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-05","14.76",",,W",,,"0.09",",,W,2400","0.8",",,W",,,"31","H,,S","36",",,W","7",",,W","  320",",,W","  310",",,W","30.0",",,W","40.0",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-06","11.41",",,W",,,"0.00","T,,W,2400","0.0","T,,W",,,"12","H,,S","21",",,W","5",",,W","  300",",,W","  300",",,W","21.0",",,W","29.1",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-07","10.74",",,W",,,"0.07",",,W,2400","0.9",",,W",,,"23","H,,S","29",",,W","16",",,W","  240",",,W","  230",",,W","19.9",",,W","25.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-08","13.42",",,W",,,"0.37",",,W,2400","7.4",",,W",,,"26","H,,S","29",",,W","13",",,W","   30",",,W","   40",",,W","21.9",",,W","28.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-09","14.99",",,W",,,"0.88",",,W,2400","14.8",",,W",,,"17","H,,S","25",",,W","14",",,W","   30",",,W","   20",",,W","25.9",",,W","32.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-10","11.18",",,W",,,"0.05",",,W,2400","0.7",",,W",,,"20","H,,S","30",",,W","14",",,W","  360",",,W","  350",",,W","21.0",",,W","23.9",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-11","11.63",",,W",,,"0.01",",,W,2400","0.5",",,W",,,"22","H,,S","25",",,W","14",",,W","   20",",,W","   40",",,W","23.0",",,W","31.1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W","    1",",,W"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-12","5.37",",,W",,,"0.03",",,W,2400","1.0",",,W",,,"21","H,,S","30",",,W","16",",,W","  330",",,W","  330",",,W","16.1",",,W","21.0",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-13","15.43",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"16","H,,S","22",",,W","7",",,W","  290",",,W","  300",",,W","28.0",",,W","36.9",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-14","9.62",",,W",,,"0.23",",,W,2400","3.2",",,W",,,"13","H,,S","30",",,W","3",",,W","  120",",,W","  320",",,W","21.9",",,W","23.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-15","20.80",",,W",,,"0.39",",,W,2400","13.0",",,W",,,"19","H,,S","20",",,W","-2",",,W","  310",",,W","  280",",,W","33.1",",,W","51.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-16","19.69",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"6","H,,S","19",",,W","-3",",,W","  290",",,W","  300",",,W","31.1",",,W","40.9",",,W",,,,,,,,,,,,,,,"    1",",,W"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-17","7.83",",,W",,,"0.02",",,W,2400","0.6",",,W",,,"15","H,,S","23",",,W","10",",,W","  360",",,W","   10",",,W","14.1",",,W","18.1",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-18","5.37",",,W",,,"0.01",",,W,2400","0.0","T,,W",,,"23","H,,S","29",",,W","17",",,W","  280",",,W","  280",",,W","14.1",",,W","17.0",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-19","14.09",",,W",,,"0.06",",,W,2400","2.4",",,W",,,"25","H,,S","30",",,W","10",",,W","  260",",,W","  250",",,W","30.0",",,W","40.0",",,W","    1",",,W",,,,,,,,,,,"    1",",,W","    1",",,W"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-20","18.57",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"11","H,,S","20",",,W","5",",,W","  270",",,W","  260",",,W","28.0",",,W","35.1",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-21","11.18",",,W",,,"0.17",",,W,2400","1.1",",,W",,,"17","H,,S","34",",,W","4",",,W","  200",",,W","  210",",,W","25.9",",,W","35.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-22","5.14",",,W",,,"0.11",",,W,2400","0.1",",,W",,,"33","H,,S","39",",,W","28",",,W","  280",",,W","  280",",,W","13.0",",,W","16.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-23","14.54",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"27","H,,S","33",",,W","4",",,W","  280",",,W","  280",",,W","25.1",",,W","35.1",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-24","9.40",",,W",,,"0.00","T,,W,2400","0.0","T,,W",,,"9","H,,S","19",",,W","2",",,W","  190",",,W","  190",",,W","19.9",",,W","23.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-25","10.74",",,W",,,"0.07",",,W,2400","1.9",",,W",,,"23","H,,S","35",",,W","14",",,W","  280",",,W","  270",",,W","21.9",",,W","29.1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-26","9.17",",,W",,,"0.02",",,W,2400","0.2",",,W",,,"21","H,,S","22",",,W","17",",,W","   30",",,W","   30",",,W","18.1",",,W","21.0",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-27","8.28",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"20","H,,S","27",",,W","15",",,W","  290",",,W","  330",",,W","14.1",",,W","18.1",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-28","8.72",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"21","H,,S","31",",,W","12",",,W","  300",",,W","  250",",,W","15.0",",,W","19.9",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-01","6.04",",,W",,,"0.17",",,W,2400","1.9",",,W",,,"23","H,,S","30",",,W","12",",,W","  210",",,W","  210",",,W","19.9",",,W","23.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-02","14.32",",,W",,,"0.01",",,W,2400","0.2",",,W",,,"30","H,,S","37",",,W","26",",,W","  280",",,W","  280",",,W","30.0",",,W","40.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-03","10.07",",,W",,,"0.26",",,W,2400","1.6",",,W",,,"26","H,,S","33",",,W","20",",,W","  190",",,W","  320",",,W","23.9",",,W","32.0",",,W","    1",",,W",,,,,"    1",",,W",,,"    1",",,W",,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-04","11.41",",,W",,,"0.02",",,W,2400","0.0",",,W",,,"36","H,,S","43",",,W","33",",,W","  260",",,W","  260",",,W","21.0",",,W","30.0",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-05","11.86",",,W",,,"0.00","T,,W,2400","0.0","T,,W",,,"33","H,,S","39",",,W","18",",,W","  320",",,W","  330",",,W","19.9",",,W","28.0",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-06","10.51",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"18","H,,S","24",",,W","9",",,W","  320",",,W","  310",",,W","23.0",",,W","29.1",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-07","10.74",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"25","H,,S","38",",,W","17",",,W","  220",",,W","  220",",,W","21.0",",,W","25.1",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-08","8.50",",,W",,,"0.00","T,,W,2400","0.0","T,,W",,,"33","H,,S","42",",,W","24",",,W","  280",",,W","  300",",,W","25.1",",,W","32.0",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-09","10.07",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"37","H,,S","48",",,W","26",",,W","  280",",,W","  270",",,W","25.1",",,W","36.9",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-10","6.71",",,W",,,"0.06",",,W,2400","0.0",",,W",,,"39","H,,S","48",",,W","31",",,W","  180",",,W","  170",",,W","17.0",",,W","21.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-11","11.63",",,W",,,"0.01",",,W,2400","0.0",",,W",,,"46","H,,S","57",",,W","37",",,W","  280",",,W","  280",",,W","25.1",",,W","33.1",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-12","17.00",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"39","H,,S","43",",,W","25",",,W","  330",",,W","  320",",,W","32.0",",,W","40.9",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-13","10.51",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"30","H,,S","40",",,W","24",",,W","  220",",,W","  210",",,W","18.1",",,W","23.0",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-14","8.05",",,W",,,"0.80",",,W,2400","0.0",",,W",,,"34","H,,S","39",",,W","31",",,W","  290",",,W","  320",",,W","15.0",",,W","19.9",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-15","13.87",",,W",,,"0.27",",,W,2400","2.9",",,W",,,"36","H,,S","41",",,W","27",",,W","  360",",,W","  360",",,W","33.1",",,W","40.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-16","8.72",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"33","H,,S","45",",,W","26",",,W","  320",",,W","  310",",,W","18.1",",,W","25.1",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-17","14.32",",,W",,,"0.14",",,W,2400","0.0","T,,W",,,"39","H,,S","51",",,W","28",",,W","  320",",,W","  320",",,W","38.0",",,W","51.0",",,W","    1",",,W",,,,,"    1",",,W",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-18","21.70",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"27","H,,S","30",",,W","22",",,W","  300",",,W","  300",",,W","36.0",",,W","52.1",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-19","15.66",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"25","H,,S","34",",,W","19",",,W","  310",",,W","  320",",,W","30.0",",,W","40.9",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-20","3.58",",,W",,,"0.05",",,W,2400","0.5",",,W",,,"27","H,,S","32",",,W","23",",,W","  210",",,W","   40",",,W","12.1",",,W","25.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-21","6.49",",,W",,,"0.09",",,W,2400","1.2",",,W",,,"30","H,,S","41",",,W","28",",,W","  260",",,W","  270",",,W","21.9",",,W","31.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-22","17.90",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"32","H,,S","39",",,W","21",",,W","  290",",,W","  290",",,W","33.1",",,W","48.1",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-23","15.21",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"24","H,,S","33",",,W","18",",,W","  300",",,W","  300",",,W","23.9",",,W","31.1",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-24","7.61",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"27","H,,S","35",",,W","20",",,W","  200",",,W","  220",",,W","13.0",",,W","16.1",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-25","8.95",",,W",,,"0.04",",,W,2400","0.0",",,W",,,"35","H,,S","49",",,W","28",",,W","  200",",,W","  190",",,W","21.9",",,W","28.0",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-26","8.72",",,W",,,"0.80",",,W,2400","0.0",",,W",,,"44","H,,S","56",",,W","38",",,W","  210",",,W","  250",",,W","16.1",",,W","23.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-27","5.37",",,W",,,"0.21",",,W,2400","0.0",",,W",,,"42","H,,S","44",",,W","37",",,W","   30",",,W","  350",",,W","13.0",",,W","15.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-28","12.53",",,W",,,"0.12",",,W,2400","0.3",",,W",,,"36","H,,S","40",",,W","30",",,W","   10",",,W","   10",",,W","23.9",",,W","30.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-29","9.40",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"33","H,,S","42",",,W","26",",,W","  330",",,W","  140",",,W","17.0",",,W","21.9",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-30","12.97",",,W",,,"0.00","T,,W,2400","0.0","T,,W",,,"36","H,,S","45",",,W","30",",,W","  210",",,W","  220",",,W","29.1",",,W","35.1",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-31","12.30",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"42","H,,S","50",",,W","37",",,W","  250",",,W","  270",",,W","19.9",",,W","29.1",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-04-01","10.07",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"39","H,,S","47",",,W","30",",,W","  320",",,W","  310",",,W","21.0",",,W","28.0",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-04-02","12.75",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"43","H,,S","61",",,W","30",",,W","  220",",,W","  220",",,W","29.1",",,W","36.9",",,W",,,,,,,,,,,,,,,,
